id,player
203112,"Acy, Quincy"
203919,"Adams, Jordan"
203500,"Adams, Steven"
202399,"Adrien, Jeff"
201167,"Afflalo, Arron"
201582,"Ajinca, Alexis"
203128,"Aldemir, Furkan"
202332,"Aldrich, Cole"
200746,"Aldridge, LaMarcus"
202730,"Allen, Lavoy"
2754,"Allen, Tony"
202329,"Aminu, Al-Farouq"
200811,"Amundson, Lou"
2365,"Andersen, Chris"
101187,"Anderson, Alan"
203937,"Anderson, Kyle"
201583,"Anderson, Ryan"
203507,"Antetokounmpo, Giannis"
2546,"Anthony, Carmelo"
201202,"Anthony, Joel"
203544,"Antic, Pero"
2772,"Ariza, Trevor"
201589,"Arthur, Darrell"
201600,"Asik, Omer"
201571,"Augustin, D.J."
201965,"Ayres, Jeff"
202337,"Babbitt, Luke"
203946,"Bairstow, Cameron"
2571,"Barbosa, Leandro"
200826,"Barea, Jose Juan"
200745,"Bargnani, Andrea"
203084,"Barnes, Harrison"
2440,"Barnes, Matt"
2853,"Barron, Earl"
203115,"Barton, Will"
101138,"Bass, Brandon"
201587,"Batum, Nicolas"
201573,"Bayless, Jerryd"
203382,"Baynes, Aron"
203145,"Bazemore, Kent"
203078,"Beal, Bradley"
201563,"Beasley, Michael"
201158,"Belinelli, Marco"
203461,"Bennett, Anthony"
201976,"Beverley, Patrick"
204021,"Bhullar, Sim"
202687,"Biyombo, Bismack"
204028,"Black, Tarik"
201971,"Blair, DeJuan"
2581,"Blake, Steve"
202339,"Bledsoe, Eric"
203505,"Blue, Vander"
202711,"Bogdanovic, Bojan"
101106,"Bogut, Andrew"
2588,"Bonner, Matt"
202344,"Booker, Trevor"
2430,"Boozer, Carlos"
2547,"Bosh, Chris"
202340,"Bradley, Avery"
1882,"Brand, Elton"
201147,"Brewer, Corey"
201166,"Brooks, Aaron"
203913,"Brown, Jabari"
203485,"Brown, Lorenzo"
203900,"Brown, Markel"
200769,"Brown, Shannon"
977,"Bryant, Kobe"
201978,"Budinger, Chase"
203493,"Bullock, Reggie"
203504,"Burke, Trey"
202692,"Burks, Alec"
2406,"Butler, Caron"
202710,"Butler, Jimmy"
2446,"Butler, Rasual"
202779,"Buycks, Dwight"
101198,"Bynum, Will"
203998,"Caboclo, Bruno"
201979,"Calathes, Nick"
101181,"Calderon, Jose"
203484,"Caldwell-Pope, Kentavious"
203477,"Canaan, Isaiah"
203991,"Capela, Clint"
201960,"Carroll, DeMarre"
1713,"Carter, Vince"
203487,"Carter-Williams, Michael"
201956,"Casspi, Omri"
201596,"Chalmers, Mario"
